"","x"
"1",-0.013330094
"2",-0.162894922
"3",0.097016827
"4",0.007472015
"5",-0.05080918
"6",0.106321592
"7",0.085937203
"8",-0.034004391
"9",-0.031874263
"10",-0.052745053
"11",0.006688988
"12",0.05103883
"13",-0.032933084
"14",0.100903341
"15",0.010270049
"16",0.168493555
"17",-0.015642777
"18",0.054782814
"19",0.029474483
"20",0.163390404
"21",-0.022199418
"22",0.13614628
"23",-0.152790881
"24",0.012929748
"25",-0.003847216
"26",0.087996437
"27",0.030013207
"28",0.024391453
"29",0.040416233
"30",0.124316202
"31",-0.208019617
"32",0.087263234
"33",-0.162518929
"34",0.024968446
"35",0.039848512
"36",-0.02328606
"37",-0.016686919
"38",0.116072171
"39",-0.830879581
"40",-0.007473526
"41",-0.078800441
"42",-0.158679794
"43",-0.046297174
"44",-0.073203404
"45",-0.145529937
"46",-0.078502228
"47",0.275191278
"48",-0.067458921
"49",0.017964603
"50",0.064538521
"51",0.073424445
"52",-0.027028672
"53",-0.010075652
"54",0.0268889
"55",0.012079526
"56",-0.03093537
"57",0.124300645
"58",0.061749727
"59",-0.091209012
"60",-0.142529354
"61",0.049876766
"62",0.472777556
"63",0.008207133
"64",0.004957474
"65",-0.002213615
"66",-0.038603257
"67",-0.120590108
"68",-0.036729454
"69",0.022215422
"70",0.13185999
"71",-0.023369244
"72",0.082923549
"73",-0.009295187
"74",0.067766605
"75",0.083691478
"76",-0.029352212
"77",-0.013041995
"78",0.227289912
"79",0.018089365
"80",-0.017391743
"81",0.027880786
"82",0.06002938
"83",-0.043136694
"84",0.045870454
"85",0.045694264
"86",-0.128961049
"87",-0.119932125
"88",-0.004914015
"89",-0.014896005
"90",0.109146126
"91",-0.005068435
"92",-0.054386925
"93",-0.016500758
"94",0.029654085
"95",-0.088033349
"96",-0.002334089
"97",-0.007513246
"98",0.016813533
"99",0.056715777
"100",0.011341254
"101",-0.0751058
"102",0.04326798
"103",0.025469542
"104",-0.128717291
"105",0.215046341
"106",0.034327543
"107",0.002282362
"108",0.002729276
"109",0.021842852
"110",-0.134939213
"111",0.104312847
"112",0.02781478
"113",-0.124519108
"114",0.011248713
"115",-0.012115523
"116",-0.062819481
"117",0.116643952
"118",0.071074038
"119",0.01487221
"120",-0.038666527
"121",0.065805341
"122",0.230177578
"123",-0.064178226
"124",0.047473894
"125",-0.042975363
"126",0.172831426
"127",0.038978977
"128",-0.141678368
"129",0.008041237
"130",0.059597822
"131",0.009578617
"132",-0.015267472
"133",0.028066907
"134",0.048928216
"135",-0.023876677
"136",-0.070530151
"137",0.072724629
"138",0
"139",0.00376412
"140",0.045780348
"141",-0.0399861
"142",0.104628987
"143",-0.104695401
"144",0.27704018
"145",-0.028113483
"146",0.086913102
"147",0.03749517
"148",-0.064538521
"149",0.062175275
"150",-0.148805932
"151",-0.77224735
"152",-0.009622887
"153",-0.119192713
"154",-0.007606716
"155",0.013414566
"156",-0.099136366
"157",-0.09649279
"158",0.009882797
"159",0.175966658
"160",-0.021099584
"161",0.289010976
"162",0.066322643
"163",-0.00945882
"164",0.167299815
"165",0.081653853
"166",0.03555331
"167",0.438041279
"168",-0.117783036
"169",0.056695344
"170",-0.25565283
"171",0.111140175
"172",0.023352484
"173",0.058425476
"174",0.026929412
"175",-0.046304568
"176",0.038555851
"177",-0.021429581
"178",0.044988911
"179",-0.055334276
"180",0.003560306
"181",-0.010615811
"182",-0.064329953
"183",0.01889279
"184",-0.115562383
"185",-0.138205291
"186",-0.044525079
"187",0.030832384
"188",-0.074085133
"189",0.02549518
"190",0.146603474
"191",-0.043166311
"192",0.040879109
"193",0.004499445
"194",-0.071281202
"195",-0.087398064
"196",-0.06473098
"197",-0.013665075
"198",-0.026367856
"199",-0.406751282
"200",-0.07762793
"201",0.044981536
"202",-0.076618047
"203",-0.059534703
"204",-0.379406164
"205",-0.101980577
"206",-0.153626126
"207",-0.162518929
"208",-0.202671096
"209",-0.030733573
"210",-0.110584672
"211",0.035014518
"212",0.087109875
"213",-0.100121161
"214",0.014797903
"215",-0.267977001
"216",0.016209505
"217",-0.163890615
"218",-0.184674275
"219",-0.078312654
"220",-0.159555514
"221",0.01343942
"222",-0.113615499
"223",-0.068402727
"224",0.028241902
"225",0.035867529
"226",-0.168111994
"227",-0.000632111
"228",-0.031534144
"229",0.016713481
"230",0.175204089
"231",-0.016645601
"232",-0.077011294
"233",-0.015309972
"234",0.032295595
"235",0.219119401
"236",-0.013159153
"237",-0.10713278
"238",0.000487924
"239",-0.099389446
"240",-0.015467292
"241",0.004178643
"242",-0.002432041
"243",0.07958336
"244",-0.085522173
"245",-0.447808866
"246",0.013513719
"247",0.526778106
"248",0.018107491
"249",0.004965528
"250",-0.032453745
"251",0.032730194
"252",-0.031526254
"253",-0.013201075
"254",0
"255",0
"256",-0.06234267
"257",0.106132418
"258",-0.109331574
"259",-0.322021963
"260",0.007675255
"261",0.009830931
"262",0.041726563
"263",-0.064538521
"264",-0.036328286
"265",0.147502905
"266",0.063465591
"267",0.05781311
"268",0.037598414
"269",0.025262189
"270",-0.069161349
"271",-0.01566639
"272",-0.089330031
"273",0.004701692
"274",-0.201248294
"275",0.002343293
"276",-0.03338589
"277",-0.057523844
"278",0.148420005
"279",-0.002118523
"280",0.052745344
"281",-0.051024802
"282",-0.065063593
"283",-0.063051183
"284",-0.029013219
"285",0.001402525
"286",-0.005554514
"287",0.004210767
"288",0.028951713
"289",0.002400962
"290",-0.005998518
"291",-0.029182767
"292",-0.119074191
"293",0.063513406
"294",0.117783036
"295",-0.035612072
"296",0.099031381
"297",0.035865913
"298",0.431238186
"299",-0.040137913
"300",-0.049252378
"301",0.000804164
"302",-0.027848997
"303",-0.018416727
"304",0.059287505
"305",-0.017338755
"306",0.059617301
"307",-0.002983334
"308",0.025433389
"309",0.011675701
"310",-0.00511748
"311",0.097872365
"312",-0.023773109
"313",-0.027940489
"314",0.130054967
"315",0.032111553
"316",0.050032766
"317",-0.071011036
"318",0
"319",-0.001792716
"320",0.027934593
"321",-0.190321599
"322",0.008959741
"323",-0.044671652
"324",0.119912599
"325",0.139820301
"326",0.024404119
"327",-0.097851477
"328",-0.002546965
"329",-0.052808181
"330",0.007503162
"331",0.0506472
"332",-0.0888008
"333",-0.018289913
"334",-0.063429448
"335",-0.061962074
"336",-0.010639347
"337",0.037668545
"338",-0.121835353
"339",0.053013854
"340",0.265013273
"341",0.039484008
"342",-0.144869559
"343",-0.600437782
"344",-0.356341555
"345",-0.017431186
"346",-0.086540456
"347",0.004284942
"348",-0.009451768
"349",0.041754271
"350",-0.059402403
"351",-0.044818126
"352",0.053345981
"353",0.011179875
"354",0.097443351
"355",0.007067167
"356",0.135938732
"357",0.037624399
"358",-0.008126505
"359",0.038293658
"360",0.036139047
"361",-0.049721183
"362",0.008329525
"363",0.024006207
"364",0.019686551
"365",0.037518192
"366",-0.036818121
"367",0.010457262
"368",0.030417213
"369",0.061003818
"370",-0.063389756
"371",-0.344096162
"372",-0.071629656
"373",-0.321527189
"374",-0.034482816
"375",0.027716564
"376",0.054084124
"377",0.006642777
"378",0.015583706
"379",0.040661339
"380",-0.00770222
"381",0.101194078
"382",0.020704673
"383",-0.047285273
"384",0.011404788
"385",0.016466373
"386",-0.002155638
"387",0.100872849
"388",-0.181285824
"389",-0.039613101
"390",-0.00924917
"391",0.042688094
"392",-0.015033652
"393",-0.054821793
"394",0.040232347
"395",0.236648258
"396",0.026028172
"397",0.014445685
"398",0.151786281
"399",-0.052372392
"400",0.015576123
"401",0.057103696
"402",-0.002653695
"403",0.10966689
"404",0.122141528
"405",-0.129743741
